*/////////////////////////////////////////////
* DIP
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン数	ピン間	列間	ピン直径
TB6674PG(0)	I-07408		IC	DIL	16	2.54	7.62	0.5
SN74HC164N	I-08880		IC	DIL	14	2.54	7.62	0.5
MUSES8820D	I-03706		IC	DIL	8	2.54	7.62	0.5
MCP3204-BI_P	I-00239		IC	DIL	14	2.54	7.62	0.5
NJM2903D	I-06654		IC	DIL	8	2.54	7.62	0.5
LM7171BIN	I-01048		IC	DIL	8	2.54	7.62	0.5
NJM2360AD	I-02878		IC	DIL	8	2.54	7.62	0.5
NJM2119D	I-00188		IC	DIL	8	2.54	7.62	0.5
AE-LTC1799	I-01569		IC	DIL	8	2.54	7.62	0.5
OP07CP		I-01653		IC	DIL	8	2.54	7.62	0.5
NJM5534D	I-06715		IC	DIL	8	2.54	7.62	0.5
LMC6484AIN	I-02431		IC	DIL	14	2.54	7.62	0.5
TLP627-2(F)	I-07691		PC	DIL	8	2.54	7.62	0.5
LME49860NA	I-02914		IC	DIL	8	2.54	7.62	0.5
NJM723D		I-00575		IC	DIL	14	2.54	7.62	0.5
FOD814A300W	I-06483		PC	DIL	4	2.79	10.66	0.5
LM386N-1	I-01295		IC	DIL	8	2.54	7.62	0.5
LF411CN		I-00058		IC	DIL	8	2.54	7.62	0.5
NJM4558DD	I-02357		IC	DIL	8	2.54	7.62	0.5
IR2110PBF	I-06193		IC	DIL	14	2.54	7.62	0.5
ADM3202AN	I-03030		IC	DIL	16	2.54	7.62	0.5
OPA2277PA	I-02356		IC	DIL	8	2.54	7.62	0.5
NJU3711D	I-03707		IC	DIL	14	2.54	7.62	0.5
OP275GP		I-06716		IC	DIL	8	2.54	7.62	0.5
S4282-51	I-06321		SENS	DIL	4	2.54	5.75	0.5
24LC512-I_P	I-02524		IC	DIL	8	2.54	7.62	0.5
SN74HC4040N	I-08606		IC	DIL	16	2.54	7.62	0.5
CY8C27443-24PXI	I-01440		MCU	DIL	28	2.54	7.62	0.5
LME49720NA	I-02405		IC	DIL	8	2.54	7.62	0.5
NJM431D		I-09217		IC	DIL	8	2.54	7.62	0.5
NJM072BD	I-09178		IC	DIL	8	2.54	7.62	0.5
SN74HC4066N	I-08608		IC	DIL	14	2.54	7.62	0.5
PS2505-1	I-09929		PC	DIL	4	2.54	7.62	0.5
SN74HC393N	I-08603		IC	DIL	14	2.54	7.62	0.5
24FC1025-I_P	I-03570		IC	DIL	8	2.54	7.62	0.5
TLP4227G	I-07104		PC	DIL	4	2.54	7.62	0.5
SN74HC139N	I-09415		IC	DIL	16	2.54	7.62	0.5
NJM2747D	I-09117		IC	DIL	14	2.54	7.62	0.5
CY8C29466-24PXI	I-01441		MCU	DIL	28	2.54	7.62	0.5
NJM2137D	I-04725		IC	DIL	8	2.54	7.62	0.5
CY8C24123A-24PXI	I-02993	MCU	DIL	8	2.54	7.62	0.5
NJM4556ADD	I-02589		IC	DIL	8	2.54	7.62	0.5
DI1510		I-00531		D	DIL	4	5.2	8.00	0.56
NJM072D		I-02370		IC	DIL	8	2.54	7.62	0.5
TD62784AP	I-05672		IC	DIL	18	2.54	7.62	0.5
LM311N		I-09816		IC	DIL	8	2.54	7.62	0.5
LM3916N-1	I-05183		IC	DIL	18	2.54	7.62	0.5
NJM5532DD	I-02487		IC	DIL	8	2.54	7.62	0.5
AT24C256B-PU	I-02323		IC	DIL	8	2.54	7.62	0.5
LT1112CN8	I-02790		IC	DIL	8	2.54	7.62	0.5
SN74HC148N	I-08599		IC	DIL	16	2.54	7.62	0.5
MODULE_M-03451	M-03451		IC	DIL	8	2.54	7.62	0.5
TC74HC138AP	I-10013		IC	DIL	16	2.54	7.62	0.5
NJM2734D	I-08371		IC	DIL	14	2.54	7.62	0.5
TC74HC590AP	I-10014		IC	DIL	16	2.54	7.62	0.5
LM358N		I-01012		IC	DIL	8	2.54	7.62	0.5
TLP624_F	I-07551		PC	DIL	4	5.2	8.00	0.56
NJM2742D	I-09180		IC	DIL	8	2.54	7.62	0.5
NJM2901N	I-05736		IC	DIL	14	2.54	7.62	0.5
IRS2108PBF	I-06209		IC	DIL	8	2.54	7.62	0.5
M27C1001-10F1	I-01105		IC	DIL	32	2.54	14.99	0.5
CD4066BE	I-09120		IC	DIL	14	2.54	7.62	0.5
24FC256-I_P	I-03568		IC	DIL	8	2.54	7.62	0.5
LTC1144CN8	I-01628		IC	DIL	8	2.54	7.62	0.5
MODULE_M-05720	M-05720		IC	DIL	8	2.54	7.62	0.5
TD62308APG	I-02773		TR	DIL	16	2.54	7.62	0.5
UM3481		I-05272		IC	DIL	16	2.54	7.62	0.5
NJU7044D	I-02371		IC	DIL	14	2.54	7.62	0.5
MUSES02D	I-03417		IC	DIL	8	2.54	7.62	0.5
TLP172A_TP_F	I-08686		PC	DIL	4	2.54	6.4	0.4
TDA2822L-D08	I-09720		IC	DIL	8	2.54	7.62	0.5
MUSES01D	I-03416		IC	DIL	8	2.54	7.62	0.5
NJM1496D	I-09176		IC	DIL	14	2.54	7.62	0.5
NJM2267		I-00014		IC	DIL	8	2.54	6.4	0.4
TLP521-2_GB	I-09647		PC	DIL	8	2.54	6.4	0.4
LF412CN		I-00059		IC	DIL	8	2.54	6.4	0.4
SN74HC125N	I-08598		IC	DIL	14	2.54	7.62	0.5
S21ME3		I-01186		OTHER	DIL	8	2.54	6.4	0.4
ATP3011F4-PU	I-05665		IC	DIL	28	2.54	7.62	0.5
MCP3008-I_P	I-09485		IC	DIL	16	2.54	7.62	0.5
NJM4580DD	I-00069		IC	DIL	8	2.54	7.62	0.5
NJU7043D	I-06840		IC	DIL	8	2.54	7.62	0.5
LMC662CN	I-00067		IC	DIL	8	2.54	7.62	0.5
NJM13404D	I-06052		IC	DIL	8	2.54	7.62	0.5
NJM2732D	I-04723		IC	DIL	8	2.54	7.62	0.5
NJM3404AD	I-10030		IC	DIL	8	2.54	7.62	0.5
NJM13700D	I-10031		IC	DIL	16	2.54	7.62	0.5
INA128P		I-01755		IC	DIL	8	2.54	7.62	0.5
OPA177GP	I-01601		IC	DIL	8	2.54	7.62	0.5
LMC660CN	I-00066		IC	DIL	14	2.54	7.62	0.5
NJM4565DD	I-09126		IC	DIL	8	2.54	7.62	0.5
LT1364CN8	I-08467		IC	DIL	8	2.54	7.62	0.5
NJM062D		I-09177		IC	DIL	8	2.54	7.62	0.5
LT1115CN8	I-08466		IC	DIL	8	2.54	7.62	0.5
NJU7034D	I-04402		IC	DIL	14	2.54	7.62	0.5
LM6361N		I-00062		IC	DIL	8	2.54	7.62	0.5
NJM2114DD	I-02922		IC	DIL	8	2.54	7.62	0.5
AE-NJU77902	I-05705		IC	DIL	8	2.54	7.62	0.5
OPA277PA	I-02355		IC	DIL	8	2.54	7.62	0.5
OPA627AP	I-08612		IC	DIL	8	2.54	7.62	0.5
NJM2737D	I-08231		IC	DIL	8	2.54	7.62	0.5
NJM4556AD	I-02588		IC	DIL	8	2.54	7.62	0.5
NJM2902N	I-06329		IC	DIL	14	2.54	7.62	0.5
TL084CN		I-04083		IC	DIL	14	2.54	7.62	0.5
NJU7095D	I-09656		IC	DIL	8	2.54	7.62	0.5
NJM2068DD	I-02358		IC	DIL	8	2.54	7.62	0.5
NJM2122D	I-02367		IC	DIL	8	2.54	7.62	0.5
NJM2115D	I-02488		IC	DIL	8	2.54	7.62	0.5
LME49740NA	I-03685		IC	DIL	14	2.54	7.62	0.5
NJM082BD	I-09179		IC	DIL	8	2.54	7.62	0.5
NJM3414AD	I-02368		IC	DIL	8	2.54	7.62	0.5
LM4562NA	I-02318		IC	DIL	8	2.54	7.62	0.5
NJM4560DD	I-03078		IC	DIL	8	2.54	7.62	0.5
NJM2120D	I-07098		IC	DIL	8	2.54	7.62	0.5
NJU7096D	I-08372		IC	DIL	8	2.54	7.62	0.5
NJU7072D	I-04726		IC	DIL	8	2.54	7.62	0.5
NJU7094D	I-09128		IC	DIL	8	2.54	7.62	0.5
NJM2043DD	I-02369		IC	DIL	8	2.54	7.62	0.5
NJM022BD	I-08272		IC	DIL	8	2.54	7.62	0.5
LTC1050CN8	I-08728		IC	DIL	8	2.54	7.62	0.5
NJM2114DD	I-00068		IC	DIL	8	2.54	7.62	0.5
