*/////////////////////////////////////////////
* DIP
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン数	ピン間	列間	ピン直径
1S2076A-E	I-03015		D	AXIAL	4.2		2.0		0.5
ER504		I-02230		D	AXIAL	9.5		5.3		1.3
1N5231B		I-06000		D	AXIAL	4.25		1.85		0.56
1N4148		I-00743		D	AXIAL	4.25		1.85		0.56
GDZJ3.6B	I-08709		D	AXIAL	2.9		2.1		0.45
1N4007-B	I-08327		D	AXIAL	5.21		2.72		0.864
GDZJ3.3B	I-07491		D	AXIAL	2.9		2.1		0.45
GDZJ4.3C	I-08711		D	AXIAL	2.9		2.1		0.45
Z2033		I-09428		OTHER	AXIAL	6.0		3.6		0.8
1SS178		I-07783		D	AXIAL	3.0		2.0		0.4
11EQS04		I-08998		D	AXIAL	3		2.7		0.57
GDZJ3.9B	I-08710		D	AXIAL	2.9		2.1		0.45
SD103A		I-04271		D	AXIAL	3.8		2.2		0.55
1N5822		I-02229		D	AXIAL	9.5		5.3		1.3
AL0307-101K	P-03966		L	AXIAL	8.0		3.0		0.5
AL0510-470K	P-04924		L	AXIAL	14.0		5.0		0.6
AL0307-1R0K	P-03961		L	AXIAL	8.0		3.0		0.55
AL0307-100K	P-03963		L	AXIAL	8.0		3.0		0.55
AL0307-102K	P-03970		L	AXIAL	8.0		3.0		0.5
AL0510-331K	P-04927		L	AXIAL	14.0		5.0		0.6
AL0307-220K	P-03964		L	AXIAL	8.0		3.0		0.55
LAL02NA470K	P-01630		L	AXIAL	3.4		2.3		0.50
AL0510-471K	P-04928		L	AXIAL	14.0		5.0		0.6
AL0307-470K	P-03965		L	AXIAL	8.0		3.0		0.5
AL0307-331K	P-03968		L	AXIAL	8.0		3.0		0.5
AL0410-100K	P-04932		L	AXIAL	12.0		4.0		0.6
AL0410-470K	P-04934		L	AXIAL	12.0		4.0		0.6
AL0510-472K	P-06953		L	AXIAL	14.0		5.0		0.6
AL0307-4R7K	P-03962		L	AXIAL	8.0		3.0		0.55
AL0510-221K	P-04926		L	AXIAL	14.0		5.0		0.6
AL0307-471K	P-03969		L	AXIAL	8.0		3.0		0.5
AL0307-221K	P-03967		L	AXIAL	8.0		3.0		0.5
AL0410-1R0K	P-04930		L	AXIAL	12.0		4.0		0.6
AL0510-100K	P-04922		L	AXIAL	14.0		5.0		0.6
AL0410-4R7K	P-04931		L	AXIAL	12.0		4.0		0.6
AL0510-220K	P-04923		L	AXIAL	14.0		5.0		0.6
AL0410-220K	P-04933		L	AXIAL	12.0		4.0		0.6


*/////////////////////////////////////////////
* ラジアルリード部品(コイル、コンデンサなど)
*  RADIAL: 極性なし円筒形
*  RADIAL_LED: LED用（K側切欠き、A側"A"表示）
*  RADIAL_C:  電解コンデンサ用（マイナス側半円塗りつぶし、+側"+"表示）
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類		ピン間	ピン直径	シルク円直径
*----------------------------------------------------------------------------------
NJL7302L-F5	I-08700		SENS	RADIAL		2.54	0.65		5.1
S9648		I-03822		SENS	RADIAL		2.54	1.0		5.0
L-31ROPT1C	I-04213		SENS	RADIAL		2.54	0.5		2.84

LHL13NB221K	P-03059		L	RADIAL		7.5	0.8		14.0
LHL13NB101K	P-02621		L	RADIAL		7.5	0.8		14.0
LHL13NB470K	P-04808		L	RADIAL		7.5	0.8		14.0
LHL08NB101K	P-04807		L	RADIAL		5.0	0.6		9.0
LHL08NB470K	P-04047		L	RADIAL		5.0	0.6		9.0
LHL10NB104J	P-03423		L	RADIAL		5.0	0.6		11.0
LHL13NB681K	P-03061		L	RADIAL		7.5	0.8		14.0
LHL13NB102J	P-01776		L	RADIAL		7.5	0.8		14.0
LHL13NB471K	P-03060		L	RADIAL		7.5	0.8		14.0
A823LY-100K	P-04722		L	RADIAL		5.0	0.61		5.0

SE-5R5-D105VY	P-04248		C	RADIAL_C	5.0	0.8		20.5
VEC3R0106QG	P-05325		C	RADIAL_C	5.5	0.6		10
SE-5R5-D155VY	P-04250		C	RADIAL_C	5.0	0.5		20.5
VEC3R0335QG	P-07637		C	RADIAL_C	4.0	0.6		8.0
VEC3R0505QG	P-05281		C	RADIAL_C	5.5	0.6		10.0
DB-5R5D105T	P-00239		C	RADIAL_C	5.0	0.8		21.5
VEC3R0256QG	P-05326		C	RADIAL_C	8.0	0.6		16.0
DH-5R5D105	P-05698		C	RADIAL_C	5.0	0.8		21.5
VEC2R5505QG	P-02446		C	RADIAL_C	5.5	0.6		10.0
VHC2R3106QG	P-05278		C	RADIAL_C	5.5	0.6		10.0
VEC2R5335QG	P-09716		C	RADIAL_C	4.0	0.6		8.0
2.5DMB10M12.5X25	P-02623	C	RADIAL_C	5.0	0.6		12.5
2.5DMB4R7M10X20	P-03099		C	RADIAL_C	5.0	0.6		10.0
DB-5R5D474C	P-02983		C	RADIAL_C	5.0	0.8		21.5
2.5DMA100M20X55	P-02624		C	RADIAL_C	10.0	0.6		20.0
VEC2R5106QG	P-02447		C	RADIAL_C	5.5	0.3		10.0
VEC3R0107QG	P-10234		C	RADIAL_C	10.0	0.8		22.0
VHC2R3127QG	P-05279		C	RADIAL_C	8.0	0.6		18.0
2.5DMA190M22X65	P-02625		C	RADIAL_C	10.0	0.6		22.0
VEC_2R5_367_QG	P-09296		C	RADIAL_C	10.02	0.6		36.5
VEC2R7506QG	P-10235		C	RADIAL_C	7.5	0.8		18.0
VEC3R0506QG	P-10233		C	RADIAL_C	7.5	0.8		18.0
VEC2R7107QG	P-10236		C	RADIAL_C	10.0	0.8		22.0
16MH5100MEFC6.3X5	P-05002	C	RADIAL_C	2.5	0.45		6.3
180MXC390M_22X25	P-05146	C	RADIAL_C	10.0	2.0		22.0
180MXG820M_22X40	P-05145	C	RADIAL_C	10.0	2.0		22.0
RFS-6V101MG3#Q-T2	P-06888	C	RADIAL_C	3.5	0.6		8.0
RFS-50V220MH3#A-T2	P-06889	C	RADIAL_C	5.0	0.6		10.0
RFO-50V330MF3P#-T2	P-06886	C	RADIAL_C	2.5	0.5		6.3
RFO-100V4R7ME3P#-T2	P-06887	C	RADIAL_C	2.0	0.5		5.0
UKW1H103MRD		P-08388	C	RADIAL_C	5.0	0.6		12.5
UFG1C102MHM	P-04617		C	RADIAL_C	5.0	0.8		12.5
UFG1E102MHM	P-05055		C	RADIAL_C	7.5	0.8		16.0
UKZ1E102MHM	P-04612		C	RADIAL_C	7.5	0.8		16.0
UFG1H102MHM	P-05078		C	RADIAL_C	7.5	0.8		16.0	
UKW1H102MHD	P-08383		C	RADIAL_C	5.0	0.6		12.5
UKZ1H102MHM	P-05075		C	RADIAL_C	7.5	0.8		18.0
UFG1E101MPM	P-05041		C	RADIAL_C	3.5	0.6		8.0
UKZ1E101MPM	P-04608		C	RADIAL_C	5.0	0.8		10.0
UMW1E101MDD	P-08376		C	RADIAL_C	2.0	0.45		5.0
UFG1V101MPM	P-04619		C	RADIAL_C	5.0	0.6		10.0
UFG1H101MPM	P-05046		C	RADIAL_C	5.0	0.6		10.0
UKZ1H101MHM	P-04615		C	RADIAL_C	5.0	0.8		12.5
UMW1V100MDD	P-08377		C	RADIAL_C	2.0	0.45		5.0
UFG1H100MDM	P-04621		C	RADIAL_C	2.0	0.6		5.0
UKW1V153MRD	P-08382		C	RADIAL_C	12.5	1.0		25.0
UFG1H010MDM	P-04620		C	RADIAL_C	2.0	0.6		5.0
UKW1E223MRD	P-08381		C	RADIAL_C	12.5	1.0		25.0
UKW1H222MHD	P-08384		C	RADIAL_C	7.5	0.8		16.0
UMW1A221MDD	P-08375		C	RADIAL_C	2.0	0.45		5.0
UFG1E221MPM	P-05037		C	RADIAL_C	5.0	0.6		10.0
UKZ1E221MHM	P-04609		C	RADIAL_C	5.0	0.8		12.5
UFG1H221MHM	P-05076		C	RADIAL_C	5.0	0.8		12.5
UKZ1H221MHM	P-04616		C	RADIAL_C	7.5	0.8		16.0
UMW1V220MDD	P-08378		C	RADIAL_C	2.0	0.45		5.0
UFG1H220MEM	P-05184		C	RADIAL_C	2.5	0.6		6.3
UKW1C333MRD	P-08380		C	RADIAL_C	12.5	1.0		25.0
UKW1H332MHD	P-08385		C	RADIAL_C	7.5	0.8		16.0
UFG1E331MPM	P-05079		C	RADIAL_C	5.0	0.6		10.0
UKZ1E331MHM	P-04610		C	RADIAL_C	5.0	0.8		12.5
UFG1H331MHM	P-05077		C	RADIAL_C	5.0	0.8		12.5
UKZ1H331MHM	P-05073		C	RADIAL_C	7.5	0.8		16.0
UMW0J331MDD	P-08374		C	RADIAL_C	2.0	0.45		5.0
UFG1E330MEM	P-05185		C	RADIAL_C	2.5	0.6		6.3
UKZ1E330MPM	P-04606		C	RADIAL_C	3.5	0.8		8.0
UFG1V330MEM	P-04618		C	RADIAL_C	2.5	0.6		6.3
UFG1H330MPM	P-05036		C	RADIAL_C	3.5	0.6		8.0
UKW1H472MRD	P-08386		C	RADIAL_C	10.0	1.0		20.0
UFG1E471MHM	P-05038		C	RADIAL_C	5.0	0.8		12.5
UKZ1E471MHM	P-04611		C	RADIAL_C	7.5	0.8		16.0
UFG1H471MHM	P-05056		C	RADIAL_C	7.5	0.8		16.0
UKZ1H471MHM	P-05074		C	RADIAL_C	7.5	0.8		16.0
UFG1E470MEM	P-05186		C	RADIAL_C	2.5	0.6		6.3
UKZ1E470MPM	P-04607		C	RADIAL_C	5.0	0.8		10.0
UMW1V470MDD	P-08379		C	RADIAL_C	2.0	0.45		5.0
UFG1H470MPM	P-04622		C	RADIAL_C	3.5	0.6		8.0
UKZ1H470MPM	P-04614		C	RADIAL_C	5.0	0.8		10.0
UKW1H682MRD	P-08387		C	RADIAL_C	10.0	1.0		22.0
UES1E4R7MDM	P-04623		C	RADIAL_C	2.0	0.6		5.0
UES1HR47MDM	P-04633		C	RADIAL_C	2.0	0.6		5.0
UES1E102MHM	P-04632		C	RADIAL_C	7.5	0.8		16.0
UES1E101MPM	P-04628		C	RADIAL_C	5.0	0.6		10.0
UES1H101MHM	P-04642		C	RADIAL_C	5.0	0.8		12.5
UES1E100MDM	P-04624		C	RADIAL_C	2.0	0.6		5.0
UES1H100MPM	P-04638		C	RADIAL_C	3.5	0.6		8.0
UES1H010MDM	P-04634		C	RADIAL_C	2.0	0.6		5.0
UES1H2R2MDM	P-04635		C	RADIAL_C	2.0	0.6		5.0
UES1E221MHM	P-04629		C	RADIAL_C	5.0	0.8		12.5
UES1H221MHM	P-04643		C	RADIAL_C	7.5	0.8		16.0
UES1E220MEM	P-04625		C	RADIAL_C	2.5	0.6		6.3
UES1H220MPM	P-04639		C	RADIAL_C	5.0	0.6		10.0
UES1H3R3MDM	P-04636		C	RADIAL_C	2.0	0.6		5.0
UES1E331MHM	P-04630		C	RADIAL_C	5.0	0.8		12.5
UES1H331MHM	P-04644		C	RADIAL_C	7.5	0.8		16.0
UES1E330MPM	P-04626		C	RADIAL_C	3.5	0.6		8.0
UES1H330MPM	P-04640		C	RADIAL_C	5.0	0.6		10.0
UES1H4R7MEM	P-04637		C	RADIAL_C	2.5	0.6		6.3
UES1E471MHM	P-04631		C	RADIAL_C	7.5	0.8		16.0
UES1H470MPM	P-04641		C	RADIAL_C	5.0	0.6		10.0
UES1E470MPM	P-04627		C	RADIAL_C	5.0	0.6		10.0
16MCZ1500M10X20	P-02366		C	RADIAL_C	5.0	0.6		10.0
16MCZ1000M10X16	P-02365		C	RADIAL_C	5.0	0.6		10.0
10MCZ1500M8X20	P-02360		C	RADIAL_C	3.5	0.6		8.0
EEUGA1E102	P-06914		C	RADIAL_C	5.0	0.6		12.5
UHE1H101MPD	P-08440		C	RADIAL_C	2.0	0.5		5.0
UHE1H100MDD	P-08439		C	RADIAL_C	2.0	0.5		5.0
UHE1H471MHD	P-08441		C	RADIAL_C	5.0	0.6		12.5
ELXJ350ELL222ML35S	P-05752	C	RADIAL_C	7.5	0.8		16.0
400BXA10M10X16		P-08000	C	RADIAL_C	5.0	0.6		10.0
400BXA6R8M10X12.5	P-07999	C	RADIAL_C	5.0	0.6		10.0
10WXA1000MEFC10X9	P-08424	C	RADIAL_C	5.0	0.6		10.0
16PX100MEFC5X11		P-10271	C	RADIAL_C	2.0	0.5		5.0
6.3MH5100MEFCT56356	P-08641	C	RADIAL_C	2.5	0.45		6.3
16MH710MEFC0465		P-08642	C	RADIAL_C	1.5	0.45		4.0
400YXA10MEFC10X12.5	P-06865	C	RADIAL_C	5.0	0.6		10.0
420BXC10MEFCY1021	P-08647	C	RADIAL_C	5.0	0.6		10.0
450BXC10MY1021		P-08648	C	RADIAL_C	5.0	0.6		10.0	
35WXA2200MEFC18X20	P-08427	C	RADIAL_C	7.5	0.8		18.0
16PX220MEFC6.3X11	P-10272	C	RADIAL_C	2.5	0.5		6.3
16MH722MEFC0465		P-08644	C	RADIAL_C	2.0	0.45		5.0
35WXA3300MEFC18X25	P-08428	C	RADIAL_C	7.5	0.8		18.0
16WXA330MEFC8X9		P-08425	C	RADIAL_C	3.5	0.6		8.0
16PX470MEFC8X11.5	P-10273	C	RADIAL_C	3.5	0.6		8.0
16WXA470MEFC8X9		P-08426	C	RADIAL_C	3.5	0.6		8.0
16PX47MEFC5X11		P-10270	C	RADIAL_C	2.0	0.45		5.0
25PK1000MEFC10X16	P-03131	C	RADIAL_C	5.0	0.6		10.0
EKMG350ELL102MK20S	P-04424	C	RADIAL_C	5.0	0.6		12.5
25PK100MEFC5X11		P-03122	C	RADIAL_C	2.0	0.45		5.0
ESMG350ELL101MF11D	P-04514	C	RADIAL_C	2.5	0.5		6.3
SMG35VB101ME0		P-04336	C	RADIAL_C	2.5	0.5		6.3
50PK100MEFC8X11.5	P-06726	C	RADIAL_C	3.5	0.6		8.0
16MS710MEFC4X7		P-04164	C	RADIAL_C	1.5	0.45		4.0
50PK10MEFC5X11		P-03116	C	RADIAL_C	2.0	0.45		5.0
50PK1MEFC5X11		P-03114	C	RADIAL_C	2.0	0.45		5.0
50PK2R2MEFC5X11		P-03171	C	RADIAL_C	2.0	0.45		5.0
25PK220MEFC6.3X11	P-03179	C	RADIAL_C	2.5	0.5		6.3
50PK22MEFC5X11		P-03177	C	RADIAL_C	2.0	0.45		5.0
50PK3R3MEFC5X11		P-03173	C	RADIAL_C	2.0	0.45		5.0
25PK330MEFC8X11.5	P-03181	C	RADIAL_C	3.5	0.6		8.0
50PK33MEFC5X11		P-03118	C	RADIAL_C	2.0	0.45		5.0
SMG50VB33ME0		P-04332	C	RADIAL_C	2.0	0.5		5.0
ESMG500ELL330ME11	P-04332	C	RADIAL_C	2.0	0.5		5.0
50PK4R7MEFC5X11		P-03175	C	RADIAL_C	2.0	0.45		5.0
25PK470MEFC8X11.5	P-03129	C	RADIAL_C	3.5	0.6		8.0
35PK47MEFC5X11		P-03120	C	RADIAL_C	2.0	0.5		5.0
ESMG350ELL470ME11D	P-04516	C	RADIAL_C	2.0	0.5		5.0
50PK47MEFC6.3X11	P-06639	C	RADIAL_C	2.5	0.5		6.3
35ZLH470MEFC10X16	P-02719	C	RADIAL_C	5.0	0.6		10.0
50ZLH1000MEFC16X25	P-08442	C	RADIAL_C	7.5	0.8		16.0
16ZLH3300MEFC12.5X30	P-09526	C	RADIAL_C	5.0	0.6		12.5
35ZLH1000MEFC12.5X20	P-02722	C	RADIAL_C	5.0	0.6		12.5
200BXC100M16X20		P-02855	C	RADIAL_C	7.5	0.8		16.0
400MXC100M25X25		P-02858	C	RADIAL_C	10.0	2.0		25.0
200BXC10M10X16		P-02854	C	RADIAL_C	5.0	0.6		10.0
200MXC470M22X35		P-02857	C	RADIAL_C	10.0	2.0		22.0
400BXC47M16X25		P-02856	C	RADIAL_C	7.5	0.8		16.0
25PZA100M8X10		P-07760	C	RADIAL_C	3.5	0.6		8.0
35PZA150M10X13		P-07269	C	RADIAL_C	5.0	0.6		10.0
25PZA220M10X13		P-07761	C	RADIAL_C	5.0	0.6		10.0
63PZA22M8X10		P-07270	C	RADIAL_C	3.5	0.6		8.0
63PZA47M10X13		P-07271	C	RADIAL_C	5.0	0.6		10.0
35PZA56M8X10		P-07268	C	RADIAL_C	3.5	0.6		8.0

*****
* 標準LED
*****
LED_3mm_STD		I-xxxxx	LED	RADIAL_LED	2.54	0.5		3.1
LED_5mm_STD		I-xxxxx	LED	RADIAL_LED	2.54	0.5		5.0

*****
* そのほか秋月取扱いLED
*****
OS4WM387E1U		I-09137	LED	RADIAL_LED	5.16	0.7		9.0
OS5WM387E1U		I-09138	LED	RADIAL_LED	5.16	0.7		9.0
OSHR8131A		I-00687	LED	RADIAL_LED	2.54	0.5		9.0
OSSV8131A		I-04342	LED	RADIAL_LED	2.54	0.5		9.0
OS5RE387E1U		I-09141	LED	RADIAL_LED	5.16	0.7		9.0
OS4BM387E1U		I-09139	LED	RADIAL_LED	5.16	0.7		9.0
OSG58387E1U		I-09140	LED	RADIAL_LED	5.16	0.7		9.0
OSUB8131A		I-00689	LED	RADIAL_LED	2.54	0.5		9.0
OSYL8131A		I-00690	LED	RADIAL_LED	2.54	0.5		9.2
OS5RKE56C1A		I-06400	LED	RADIAL_LED	2.54	0.5		5.8
OS5YKE56C1A		I-06401	LED	RADIAL_LED	2.54	0.5		5.8
OSM74E56F1A		I-06399	LED	RADIAL_LED	2.54	0.5		5.8
OSWX4E56F1A		I-06397	LED	RADIAL_LED	2.54	0.5		5.8
OS4WPL56D1A		I-08281	LED	RADIAL_LED	2.54	0.5		5.8
OSWX4356F1A		I-06398	LED	RADIAL_LED	2.54	0.5		5.8


*/////////////////////////////////////////////
* TO-220
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン間距離	ピン直径	ピン-熱放出面距離	ピン-放熱板穴位置	固定ネジ直径(Mx)
*-------------------------------------------------------------------------------------------------------------------------------
2SK2232		I-02414		FET	TO220	2.54		0.8		2.35			17.6			3
2SK334		I-02846		FET	TO220	2.54		0.8		2.35			17.6			3
NJM7805FA	I-08678		REG	TO220	2.54		0.8		2.975			14.0			3
L7805CV-DG	I-07903		REG	TO220	2.54		0.8		2.975			14.0			3
2SD880L-Y	I-08748		TR	TO220	2.54		0.8		2.975			14.0			3
FKI06269	I-08364		FET	TO220	2.54		0.8		3.01			15.8			3
2SJ349		I-02413		FET	TO220	2.54		0.8		2.97			17.6			3
NJM7812FA	I-00163		REG	TO220	2.54		0.8		2.975			14.0			3
2SD2081		I-07684		TR	TO220	2.54		0.8		2.925			16.8			3
TA48033S	I-00534		REG	TO220	2.54		0.8		2.65			17.6			3
LM317T		I-07223		REG	TO220	2.54		0.8		2.925			16.8			3
2SD2012_F	I-02510		TR	TO220	2.54		0.8		2.925			16.8			3
2SC3851A	I-07721		TR	TO220	2.54		0.8		2.925			16.8			3
TMG25C60F	I-08980		OTHER	TO220	2.54		0.8		2.925			16.8			3
FKI10531	I-08455		FET	TO220	2.54		0.8		2.51			15.8			3
TA7805S		I-06312		REG	TO220	2.54		0.8		2.925			16.8			3
TA4805S		I-00537		REG	TO220	2.54		0.8		2.925			16.8			3
NJM317F		I-08679		REG	TO220	2.54		0.8		2.975			14.0			3
IRLB3813PBF	I-06270		FET	TO220	2.54		1.01		2.62			16.65			3
2SJ380		I-00736		FET	TO220	2.54		0.9		2.925			17.9			3
BTA41-600B	I-00795		OTHER	TO220	5.5		1.4		3.05			17.5			4
EKI04047	I-08423		FET	TO220	2.54		0.8		2.4			15.9			3
LM2940CT-5.0	I-00164		REG	TO220	2.54		0.94		2.67			16.8			3
IRLB3034PBF	I-06022		FET	TO220	2.54		0.97		2.92			17.0			3
2SB834L-Y	I-08747		FET	TO220	2.54		0.8		2.925			16.8			3
2SC3422-Y	I-09669		TR	TO220	2.3		0.75		1.6			9.4			3
IRLB8721PBF	I-06024		FET	TO220	2.54		0.8		2.925			16.8			3
BTA24-600CW	I-01017		FET	TO220	2.54		0.8		2.925			16.8			3
FKI06051	I-08471		FET	TO220	2.54		0.8		2.51			15.8			3
2SA1859A	I-07679		TR	TO220	2.54		0.8		2.925			16.8			3
2SC4883A_Y	I-07755		TR	TO220	2.54		0.8		2.4			12.5			3
NJM7815FA	I-06844		REG	TO220	2.54		0.8		2.925			16.8			3
2SC4495		I-07754		TR	TO220	2.54		0.85		2.4			16.8			3
2SC4935-Y	I-05322		TR	TO220	2.54		0.8		2.925			16.8			3
2SK3163		I-00222		FET	TO220	5.45		1.0		2.8			17.7			3
NJM7809FA	I-00162		REG	TO220	2.54		0.8		2.925			16.8			3
TK100E10N1_S1X	I-08350		FET	TO220	2.54		0.51		2.74			16.21			3
LM338T		I-00158		REG	TO220	2.54		0.8		2.925			16.8			3
MBR3045FCT	I-0380		D	TO220	2.54		0.8		2.925			16.8			3
2SA1488A	I-07677		TR	TO220	2.54		0.8		2.925			16.8			3
ESAE83-006	I-09646		D	TO220	5.45		1.1		1.5			17.5			3
2SD2012_F_	I-02526		TR	TO220	2.54		0.8		2.925			16.8			3
TK20A60U_S5Q	I-08419		FET	TO220	2.54		0.8		2.925			16.8			3
TTC015B_Q_S	I-09808		TR	TO220	2.3		0.75		1.75			10.7			3
TJ11A10M3	I-05218		FET	TO220	2.54		0.8		2.925			16.8			3
NJM7915FA	I-03974		REG	TO220	2.54		0.8		2.925			16.8			3
L7806CV		I-01374		REG	TO220	2.54		0.8		2.925			16.8			3
MBR3060FCT	I-06054		D	TO220	2.54		0.8		2.925			16.8			3
2SJ349		I-02413		FET	TO220	2.54		0.8		2.925			16.8			3
2SC5200		I-02474		FET	TO220	5.45		1.0		2.8			22.5			3
NJM7912FA	I-03973		REG	TO220	2.54		0.8		2.925			16.8			3
2SC3421-Y	I-02842		TR	TO220	2.3		0.75		1.6			8.9			3
10DL2CZ47A	I-07909		D	TO220	2.54		0.8		2.925			16.8			3
L7812CV		I-01375		REG	TO220	2.54		0.8		2.925			16.8			3
2SB1432		I-06839		TR	TO220	2.54		0.8		2.925			16.8			3
2SK2382		I-02415		FET	TO220	2.54		0.8		2.925			16.8			3
LM350T		I-00159		REG	TO220	2.54		0.8		2.925			16.8			3
TA78DL05AP	I-04195		REG	TO220	2.54		0.8		2.925			16.8			3
TTA008B_Q	I-09938		TR	TO220	2.3		0.75		1.75			10.7			3
IRFB3607PBF	I-06172		FET	TO220	2.54		0.96		2.92			19.44			3
NJM7905FA	I-03972		REG	TO220	2.54		0.8		2.925			16.8			3
NJU7223F50	I-00671		REG	TO220	2.54		0.8		2.925			16.8			3
2SK3140		I-01111		FET	TO220	2.54		0.6		2.5			16.1			3
RJH60F6DPK	I-07237		FET	TO220	5.45		1.0		2.8			16.9			3
2SB1227		I-06658		TR	TO220	2.54		0.8		2.925			16.8			3
2SK1122		I-05000		FET	TO220	5.45		1.0		2.8			18.5			3
FKI06075	I-08454		FET	TO220	2.54		0.8		2.76			15.8			3	#TO220F
TL783CKCSE3	I-06382		REG	TO220	2.54		0.8		2.925			16.8			3
2SK3234		I-00244		FET	TO220	2.54		0.6		2.5			16.1			3
TTD1509B_Q	I-10006		TR	TO220	2.3		0.75		1.75			10.7			3
LM2940CT-12	I-00165		REG	TO220	2.54		0.8		2.67			16.0			3
TK100E06N1_S1X	I-08420		FET	TO220	2.54		0.81		2.74			15.18			3
2SC4382		I-07682		TR	TO220	2.54		0.85		2.4			16.8			3
CBD20150VCT	I-06169		D	TO220	2.54		0.8		2.925			16.8			3
NJM78M06FA	I-06287		REG	TO220	2.54		0.8		2.76			15.8			3
H7N0308CF	I-01110		FET	TO220	2.54		0.8		2.925			16.8			3
LM337SP		I-07218		REG	TO220	2.54		0.8		2.925			16.8			3
TTB1067B_Q	I-09809		TR	TO220	2.3		0.75		1.75			10.7			3
2SA1943		I-02475		TR	TO220	5.45		1.0		2.8			22.5			3
2SA1186_P	I-07676		TR	TO220	5.45		1.05		0.65			18.9			3
2SD2014		I-07683		TR	TO220	2.54		0.85		2.4			16.8			3
LM350T		I-06381		REG	TO220	2.54		0.8		2.925			16.8			3
2SC2837_P	I-07681		TR	TO220	5.45		1.05		0.65			18.9			3
2SJ554		I-00221		FET	TO220	5.45		1.0		2.8			16.9			3
2SD2083_Y	I-06644		TR	TO220	5.45		1.05		2.925			16.8			3
TK100A06N1	I-08251		FET	TO220	2.54		0.69		2.6			14.0			3
TK72E08N1	I-08904		FET	TO220	2.54		0.8		2.925			16.8			3
MBR30200FCT	I-03804		D	TO220	2.54		0.8		2.925			16.8			3
2SA1837		I-02512		TR	TO220	2.54		0.8		2.925			16.8			3
2SA1668		I-07678		TR	TO220	2.54		0.8		2.925			16.8			3
2SJ471		I-00034		FET	TO220	2.54		0.8		2.925			16.8			3
KCF16A60	I-09927		D	TO220	5.45		1.2		2.4			18.5			3
EKI04036	I-08453		FET	TO220	2.54		0.8		2.925			16.8			3
IRF9204PBF	I-09926		FET	TO220	2.54		0.8		2.925			16.8			3
KA350		I-01371		REG	TO220	2.54		0.8		2.925			16.8			3


*/////////////////////////////////////////////
* 表面実装っぽい縦型 (TO-251など)
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン間距離	ピン直径	ピン-熱放出面距離(厚さ方向)	ピン-熱放出面距離(デバイス方向)
*---------------------------------------------------------------------------------------------------------------------------------------------
2SK4017_Q	I-07597		FET	VERT	2.3		0.6		1.4		10.3
2SJ681_Q	I-08358		FET	VERT	2.3		0.6		1.4		10.3
TA48M033F_SQ	I-00538		REG	VERT	2.3		0.6		1.4		10.3
TA48M05F_SQ	I-00451		REG	VERT	2.3		0.6		1.4		10.3
TK5Q60W_S1VQ	I-08356		FET	VERT	2.29		0.76		1.25		10.3
IRLU3410PBF	I-06025		FET	VERT	2.29		0.89		1.44		10.3
2SK2925L-E	I-08314		FET	VERT	2.29		0.55		1.2		10.3
IRFU5505PBF	I-06021		FET	VERT	2.29		0.89		1.14		10.3
2SJ527L-E	I-08315		FET	VERT	2.29		0.8		1.2		10.3
2SK2796L	I-07145		FET	VERT	2.29		0.8		1.2		10.3
2SK4021_Q	I-08462		FET	VERT	2.3		0.6		1.1		8.6
IRFSL3607PBF	I-06272		FET	VERT	2.54		0.99		3.02		14.95
IRFU120NPBF	I-06050		FET	VERT	2.29		0.89		1.14		10.3
2SC3631		I-09783		TR	VERT	2.3		0.5		0.75		8.6
C10T06QH	I-07744		D	VERT	2.55		0.8		2.7		11.1
2SJ505L-E	I-09041		FET	VERT	2.54		0.76		2.49		11.3



*/////////////////////////////////////////////
* 表面実装型TR/FET (SOT223など)
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン間距離	ピン幅		ピン長さ	ピン-熱放出面距離(デバイス方向)
*---------------------------------------------------------------------------------------------------------------------------------------------
AZ1086H-3.3	I-02502		REG	SOT	2.3		0.81		1.75		6.7
XC6202P332PR-G	I-07415		REG	SOT	2.3		0.7		0.91		6.6


*/////////////////////////////////////////////
* 表面実装型TR/FET、2ピンが無く、放熱板を端子として利用するもの (TO-252-3など)
* ピン間距離は、2pinがあるものとして計算する
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン間距離	ピン幅		ピン長さ	ピン-熱放出面距離_デバイス方向
*---------------------------------------------------------------------------------------------------------------------------------------------
NJM2845DL1-33	I-02247		REG	SOTN	2.28		0.75		1.0		9.4
NJM2845DL1-05	I-02251		REG	SOTN	2.28		0.75		1.0		9.4
NJU7223DL1-33-B	I-03705		REG	SOTN	2.28		0.75		1.0		9.9		
NSV45060JDT4G	I-09802		IC	SOTN	2.29		0.8		1.5		10.4
NJM2391DL1-33	I-02252		REG	SOTN	2.28		0.75		1.0		9.4


*/////////////////////////////
* 表面実装トランジスタ/FET (小型小信号など、放熱板が無いもの、SOT23など)
*/////////////////////////////////////////////
*型式		注文番号	分類	FP種類	ピン間距離1	ピン間距離2	ピン幅	ピン長さ
